Atomic number,Atom,Polarizability,PolarizabilityUnit,Estimate_accuracy(%),method,Ref,Molar Refracitivty,Molar volume,MolarVolumeUnit,R/V
1,H,0.666793,1e-24 cm^3,“exact” ,calc ,MB77 ,1.68197831538352,0.01121,m^3/mol,0.000150042668634
2,He,0.204956,1e-24 cm^3,“exact” ,calc ,MB77 ,0.516999350034787,0.022424,m^3/mol,2.30556256704775E-05
2,He,0.205,1e-24 cm^3,0.1,index/diel ,NB65/OC67 ,0.517110339571085,0.022424,m^3/mol,2.3060575257362E-05
3,Li,24.3,1e-24 cm^3,2,beam ,MB77 ,61.2964939101335,1.297E-05,m^3/mol,4.72602111874584
4,Be,5.6,1e-24 cm^3,2,calc ,MB77 ,14.1259409834052,4.88E-06,m^3/mol,2.89661881670088
5,B,3.03,1e-24 cm^3,2,calc ,MB77 ,7.64314306780676,4.39E-06,m^3/mol,1.73933119445799
6,C,1.76,1e-24 cm^3,2,calc ,MB77 ,4.43958145192736,5.31E-06,m^3/mol,0.835355709164822
7,N,1.1,1e-24 cm^3,2,calc/index ,MB77 ,2.7747384074546,0.011197,m^3/mol,0.000247810878579
8,O,0.802,1e-24 cm^3,2,calc/index ,MB77 ,2.02303654798054,0.011196,m^3/mol,0.000180692796354
9,F,0.557,1e-24 cm^3,2,calc ,MB77 ,1.40502662995656,0.011202,m^3/mol,0.000125426408673
10,Ne,0.3956,1e-24 cm^3,0.1,diel ,OC67 ,0.997896830899127,0.02242,m^3/mol,4.45092252854205E-05
11,Na,24.11,1e-24 cm^3,0.12,interferom ,ESCHP94 ,60.8172209124822,2.375E-05,m^3/mol,2.56072509105188
12,Mg,10.6,1e-24 cm^3,2,calc ,MB77 ,26.7383882900171,1.3984E-05,m^3/mol,1.91207010083074
12,Mg,11.1,1e-24 cm^3,5,calc ,S71 ,27.9996330206782,1.3984E-05,m^3/mol,2.00226208671898
12,Mg,10.6,1e-24 cm^3,5,calc ,BM02 ,26.7383882900171,1.3984E-05,m^3/mol,1.91207010083074
13,Al,6.8,1e-24 cm^3,4.4,beam ,MMD90 ,17.1529283369921,9.99E-06,m^3/mol,1.71700984354275
14,Si,5.38,1e-24 cm^3,2,calc ,MB77 ,13.5709933019143,1.2054E-05,m^3/mol,1.12584978446278
15,P,3.63,1e-24 cm^3,2,calc ,MB77 ,9.15663674460018,1.6991E-05,m^3/mol,0.538910996680606
16,S,2.9,1e-24 cm^3,2,calc ,MB77 ,7.31521943783486,1.6357E-05,m^3/mol,0.447222561462057
17,Cl,2.18,1e-24 cm^3,2,calc ,MB77 ,5.49902702568275,0.01103,m^3/mol,0.000498551860896
18,Ar,1.6411,1e-24 cm^3,0.05,index/diel ,NB65/OC6,4.13965745497613,0.022392,m^3/mol,0.000184872162155
19,K,43.4,1e-24 cm^3,2,beam ,MB77 ,109.476042621391,4.568E-05,m^3/mol,2.39658587174674
20,Ca,22.8,1e-24 cm^3,2,calc ,MB77 ,57.5127597181499,2.5857E-05,m^3/mol,2.22426266458405
20,Ca,29.4,1e-24 cm^3,6,calc ,BM02 ,74.1611901628775,2.5857E-05,m^3/mol,2.86812817275312
20,Ca,25,1e-24 cm^3,8,beam ,MB77 ,63.0622365330591,2.5857E-05,m^3/mol,2.43888450064041
21,Sc,17.8,1e-24 cm^3,25,calc ,D84 ,44.9003124115381,1.5061E-05,m^3/mol,2.98123049010943
22,Ti,14.6,1e-24 cm^3,25,calc ,D84 ,36.8283461353065,1.0621E-05,m^3/mol,3.46750269610267
23,V,12.4,1e-24 cm^3,25,calc ,D84 ,31.2788693203973,8.34E-06,m^3/mol,3.75163352128929
24,Cr,11.6,1e-24 cm^3,25,calc ,D84 ,29.2608777513394,7.23E-06,m^3/mol,4.04619629566207
25,Mn,9.4,1e-24 cm^3,25,calc ,D84 ,23.7114009364302,7.35E-06,m^3/mol,3.22406702514518
26,Fe,8.4,1e-24 cm^3,25,calc ,D84 ,21.1889114751079,7.09E-06,m^3/mol,2.98759379539894
27,Co,7.5,1e-24 cm^3,25,calc ,D84 ,18.9186709599177,6.62E-06,m^3/mol,2.85780528095434
28,Ni,6.8,1e-24 cm^3,25,calc ,D84 ,17.1529283369921,6.59E-06,m^3/mol,2.60334633575038
29,Cu,6.2,1e-24 cm^3,6,calc ,BM02 ,15.6394346601987,7.09E-06,m^3/mol,2.20515984605605
29,Cu,6.1,1e-24 cm^3,25,calc ,D84 ,15.3871857140664,7.09E-06,m^3/mol,2.16959275176481
30,Zn,5.75,1e-24 cm^3,2,index ,GHM96 ,14.5043144026036,9.16E-06,m^3/mol,1.58395920089588
30,Zn,6.1,1e-24 cm^3,6,calc ,BM02 ,15.3871857140664,9.16E-06,m^3/mol,1.6803741087765
30,Zn,5.6,1e-24 cm^3,25,calc ,D84 ,14.1259409834052,9.16E-06,m^3/mol,1.5426385260899
31,Ga,8.12,1e-24 cm^3,2,calc ,MB77 ,20.4826144259376,1.1809E-05,m^3/mol,1.73449186433547
32,Ge,6.07,1e-24 cm^3,2,calc ,MB77 ,15.3115110302268,1.3645E-05,m^3/mol,1.12213345769343
33,As,4.31,1e-24 cm^3,2,calc ,MB77 ,10.8719295782994,1.3082E-05,m^3/mol,0.831060203202828
34,Se,3.77,1e-24 cm^3,2,calc ,MB77 ,9.50978526918531,1.6387E-05,m^3/mol,0.580324969133173
35,Br,3.05,1e-24 cm^3,2,calc ,MB77 ,7.69359285703321,2.561E-05,m^3/mol,0.300413621906802
36,Kr,2.4844,1e-24 cm^3,0.05,diel ,OC67 ,6.26687281770928,0.02235,m^3/mol,0.000280396994081
37,Rb,47.3,1e-24 cm^3,2,beam ,MB77 ,119.313751520548,5.5788E-05,m^3/mol,2.13869920987574
38,Sr,27.6,1e-24 cm^3,8,beam ,MB77 ,69.6207091324973,3.3316E-05,m^3/mol,2.08970792209441
38,Sr,23.5,1e-24 cm^3,6,calc ,BM02 ,59.2785023410756,3.3316E-05,m^3/mol,1.77928029598618
39,Y,22.7,1e-24 cm^3,25,calc ,D84 ,57.2605107720177,1.9881E-05,m^3/mol,2.88016250550866
40,Zr,17.9,1e-24 cm^3,25,calc ,D84 ,45.1525613576703,1.4011E-05,m^3/mol,3.22265087129186
41,Nb,15.7,1e-24 cm^3,25,calc ,D84 ,39.6030845427611,1.0841E-05,m^3/mol,3.65308408290389
42,Mo,12.8,1e-24 cm^3,25,calc ,D84 ,32.2878651049263,9.33E-06,m^3/mol,3.45916703502532
43,Tc,11.4,1e-24 cm^3,25,calc ,D84 ,28.756379859075,8.43E-06,m^3/mol,3.40926152968401
44,Ru,9.6,1e-24 cm^3,25,calc ,D84 ,24.2158988286947,8.17E-06,m^3/mol,2.96378464601066
45,Rh,8.6,1e-24 cm^3,25,calc ,D84 ,21.6934093673723,8.27E-06,m^3/mol,2.62457314952178
46,Pd,4.8,1e-24 cm^3,25,calc ,D84 ,12.1079494143473,8.85E-06,m^3/mol,1.36791348423383
47,Ag,7.2,1e-24 cm^3,25,calc ,D84 ,18.161924121521,1.0283E-05,m^3/mol,1.76620870577857
48,Cd,7.36,1e-24 cm^3,3,index ,GH95 ,18.5655224353326,1.2996E-05,m^3/mol,1.42855666630753
48,Cd,7.4,1e-24 cm^3,6,calc ,BM02 ,18.6664220137855,1.2996E-05,m^3/mol,1.43632056123311
48,Cd,7.2,1e-24 cm^3,25,calc ,D84 ,18.161924121521,1.2996E-05,m^3/mol,1.39750108660519
49,In,10.2,1e-24 cm^3,12,beam ,GMBSJ84 ,25.7293925054881,1.5707E-05,m^3/mol,1.63808445314115
49,In,9.1,1e-24 cm^3,25,calc ,D84 ,22.9546540980335,1.5707E-05,m^3/mol,1.46142828662593
50,Sn,7.7,1e-24 cm^3,25,calc ,D84 ,19.4231688521822,1.6239E-05,m^3/mol,1.19608158459155
51,Sb,6.6,1e-24 cm^3,25,calc ,D84 ,16.6484304447276,1.8181E-05,m^3/mol,0.915704881179671
52,Te,5.5,1e-24 cm^3,25,calc ,D84 ,13.873692037273,2.0449E-05,m^3/mol,0.678453324723605
53,I,5.35,1e-24 cm^3,25,index ,A56 ,13.4953186180746,2.5689E-05,m^3/mol,0.525334525208245
53,I,4.7,1e-24 cm^3,25,calc ,D84 ,11.8557004682151,2.5689E-05,m^3/mol,0.461508835229674
54,Xe,4.044,1e-24 cm^3,0.5,diel ,MB77 ,10.2009473815876,0.0223,m^3/mol,0.000457441586618
55,Cs,59.42,1e-24 cm^3,0.13,beam ,AG03 ,149.886323791775,7.0732E-05,m^3/mol,2.11907374019927
56,Ba,39.7,1e-24 cm^3,8,beam ,MB77 ,100.142831614498,3.9125E-05,m^3/mol,2.55956119142487
57,La,31.1,1e-24 cm^3,25,calc ,D84 ,78.4494222471255,2.2601E-05,m^3/mol,3.47105978705037
58,Ce,29.6,1e-24 cm^3,25,calc ,D84 ,74.665688055142,2.0947E-05,m^3/mol,3.56450508689273
59,Pr,28.2,1e-24 cm^3,25,calc ,D84 ,71.1342028092907,2.1221E-05,m^3/mol,3.35206648175348
60,Nd,31.4,1e-24 cm^3,25,calc ,D84 ,79.2061690855222,2.0577E-05,m^3/mol,3.84925737889499
61,Pm,30.1,1e-24 cm^3,25,calc ,D84 ,75.9269327858032,1.996145374449E-05,m^3/mol,3.80367751555978
62,Sm,28.8,1e-24 cm^3,25,calc ,D84 ,72.6476964860841,2.0449E-05,m^3/mol,3.5526283185527
63,Eu,27.7,1e-24 cm^3,25,calc ,D84 ,69.8729580786295,2.8979E-05,m^3/mol,2.41115835876426
64,Gd,23.5,1e-24 cm^3,25,calc ,D84 ,59.2785023410756,1.9903E-05,m^3/mol,2.97837021258482
65,Tb,25.5,1e-24 cm^3,25,calc ,D84 ,64.3234812637203,1.9336E-05,m^3/mol,3.32661777325819
66,Dy,24.5,1e-24 cm^3,25,calc ,D84 ,61.8009918023979,1.9004E-05,m^3/mol,3.25199914767406
67,Ho,23.6,1e-24 cm^3,25,calc ,D84 ,59.5307512872078,1.8753E-05,m^3/mol,3.17446548750641
68,Er,22.7,1e-24 cm^3,25,calc ,D84 ,57.2605107720177,1.8449E-05,m^3/mol,3.10371894259947
69,Tm,21.8,1e-24 cm^3,25,calc ,D84 ,54.9902702568275,1.8126E-05,m^3/mol,3.03377856431797
70,Yb,21,1e-24 cm^3,25,calc ,D84 ,52.9722786877697,2.6339E-05,m^3/mol,2.01117273578229
71,Lu,21.9,1e-24 cm^3,25,calc ,D84 ,55.2425192029598,1.7779E-05,m^3/mol,3.10717808667303
72,Hf,16.2,1e-24 cm^3,25,calc ,D84 ,40.8643292734223,1.34102E-05,m^3/mol,3.04725725741766
73,Ta,13.1,1e-24 cm^3,25,calc ,D84 ,33.044611943323,1.08677E-05,m^3/mol,3.04062607021936
74,W,11.1,1e-24 cm^3,25,calc ,D84 ,27.9996330206782,9.55E-06,m^3/mol,2.9318680454318
75,Re,9.7,1e-24 cm^3,25,calc ,D84 ,24.4681477748269,8.86E-06,m^3/mol,2.76209087874631
76,Os,8.5,1e-24 cm^3,25,calc ,D84 ,21.4411604212401,8.42E-06,m^3/mol,2.54615371348297
77,Ir,7.6,1e-24 cm^3,25,calc ,D84 ,19.17091990605,8.52E-06,m^3/mol,2.25002874382944
78,Pt,6.5,1e-24 cm^3,25,calc ,D84 ,16.3961814985954,9.09E-06,m^3/mol,1.80280836286619
79,Au,5.8,1e-24 cm^3,25,calc ,D84 ,14.6304388756697,1.021E-05,m^3/mol,1.43295189771496
80,Hg,5.02,1e-24 cm^3,1,index ,GH96 ,12.6628970958383,1.48213E-05,m^3/mol,0.854371552821837
80,Hg,5.7,1e-24 cm^3,25,calc ,D84 ,14.3781899295375,1.48213E-05,m^3/mol,0.970103157586548
81,Tl,7.6,1e-24 cm^3,15,beam ,NYU84 ,19.17091990605,1.72473E-05,m^3/mol,1.11153165458072
81,Tl,7.5,1e-24 cm^3,25,calc ,D84 ,18.9186709599177,1.72473E-05,m^3/mol,1.09690623807307
82,Pb,6.8,1e-24 cm^3,25,calc ,D84 ,17.1529283369921,1.8272E-05,m^3/mol,0.938754834555172
83,Bi,7.4,1e-24 cm^3,25,calc ,D84 ,18.6664220137855,2.1368E-05,m^3/mol,0.873568982299958
84,Po,6.8,1e-24 cm^3,25,calc ,D84 ,17.1529283369921,2.272727272727E-05,m^3/mol,0.754728846827743
85,At,6,1e-24 cm^3,25,calc ,D84 ,15.1349367679342,,m^3/mol,
86,Rn,5.3,1e-24 cm^3,25,calc ,D84 ,13.3691941450085,0.02281603288798,m^3/mol,0.000585956121761
87,Fr,47.1,1e-24 cm^3,5,calc ,DJSB99 ,118.809253628283,,m^3/mol,
87,Fr,48.7,1e-24 cm^3,25,calc ,D84 ,122.845236766399,,m^3/mol,
88,Ra,38.3,1e-24 cm^3,25,calc ,D84 ,96.6113463686466,4.52E-05,m^3/mol,2.13741916744793
89,Ac,32.1,1e-24 cm^3,25,calc ,D84 ,80.9719117084479,2.254220456802E-05,m^3/mol,3.59201388063528
90,Th,32.1,1e-24 cm^3,25,calc ,D84 ,80.9719117084479,1.97917E-05,m^3/mol,4.09120549060707
91,Pa,25.4,1e-24 cm^3,25,calc ,D84 ,64.071232317588,1.50316E-05,m^3/mol,4.2624359560917
92,U,24.9,1e-24 cm^3,6,beam ,KB94 ,62.8099875869269,1.2495E-05,m^3/mol,5.02680973084649
93,Np,24.8,1e-24 cm^3,25,calc ,D84 ,62.5577386407946,1.158924205379E-05,m^3/mol,5.39791457892076
94,Pu,24.5,1e-24 cm^3,25,calc ,D84 ,61.8009918023979,1.231328219621E-05,m^3/mol,5.01905103916323
95,Am,23.3,1e-24 cm^3,25,calc ,D84 ,58.7740044488111,1.777615215801E-05,m^3/mol,3.3063400856595
96,Cm,23,1e-24 cm^3,25,calc ,D84 ,58.0172576104144,1.828275351591E-05,m^3/mol,3.17333259237602
97,Bk,22.7,1e-24 cm^3,25,calc ,D84 ,57.2605107720177,1.671177266576E-05,m^3/mol,3.42635768911195
98,Cf,20.5,1e-24 cm^3,25,calc ,D84 ,51.7110339571085,1.662251655629E-05,m^3/mol,3.11090283965101
99,Es,19.7,1e-24 cm^3,25,calc ,D84 ,49.6930423880506,,m^3/mol,
100,Fm,23.8,1e-24 cm^3,25,calc ,D84 ,60.0352491794723,,m^3/mol,
101,Md,18.2,1e-24 cm^3,25,calc ,D84 ,45.909308196067,,m^3/mol,
102,No,17.5,1e-24 cm^3,25,calc ,D84 ,44.1435655731414,,m^3/mol,
